kepoi_name,koi_disposition,koi_period,koi_duration,koi_depth,koi_prad,koi_sma,koi_model_snr,koi_num_transits,koi_max_mult_ev,koi_max_sngle_ev,koi_teq,koi_insol,koi_steff,koi_slogg,koi_srad,koi_smass,koi_count,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec
K08219.01,FALSE POSITIVE,115.28415,11.39,415.1,2.05,0.4646,9.5,3,10.039756,9.840959,374,4.63,5780,4.438,1,1,1,1,0,0,0
K08220.01,FALSE POSITIVE,423.73074,19.4,834.9,2.48,1.0853,12.1,3,7.6106863,4.86254,225,0.6,5743,4.553,0.853,0.949,1,1,0,0,0
K08221.01,CANDIDATE,293.38641,15.23,94.9,1.35,0.8842,13.4,4,7.3776317,5.7457824,347,3.43,6392,4.213,1.34,1.067,1,0,0,0,0
K08222.01,FALSE POSITIVE,677.56282,10.53,631,2.24,1.4207,8.5,3,7.4638596,6.0327725,190,0.31,5511,4.477,0.872,0.833,1,1,0,0,0
K08223.01,CANDIDATE,66.716453,3.855,626,2.2,0.3067,8.1,14,7.5206037,3.9829998,402,6.18,5447,4.506,0.859,0.864,1,0,0,0,0
K08224.01,FALSE POSITIVE,371.21205,19.95,719.9,2.55,1.0155,12.9,4,7.446954,6.4094787,259,1.07,6106,4.497,0.94,1.013,1,1,0,0,0
K08225.01,FALSE POSITIVE,190.783023,4.069,1385,71.66,0.9897,9.5,3,8.991948,8.93681,989,226.51,5013,2.394,19.813,3.549,1,1,0,0,0
K08012.01,CANDIDATE,34.57371851,2.1742,399,0.42,0.1219,5.7,36,7.660442,4.8710995,199,0.37,3374,5.066,0.218,0.202,1,0,0,0,0
K08013.01,FALSE POSITIVE,0.85581563,10.27,,,,,77,31.968304,7.62834,,,,,,,1,0,1,0,0
K08014.01,FALSE POSITIVE,0.9337491,3.842,98.1,0.79,0.018,12.6,1220,9.449483,3.220278,1662,1809.26,5628,4.575,0.808,0.903,1,0,0,1,1
K08015.01,FALSE POSITIVE,0.93374417,3.385,31.3,0.64,0.0197,9.9,1440,8.961337,3.2587774,2126,4835.58,6363,4.399,1.131,1.17,1,0,0,1,1
K08016.01,FALSE POSITIVE,0.93374635,3.074,34.3,0.63,0.0186,7.3,1440,7.839946,3.397076,1895,3029.67,5593,4.349,1.094,0.976,1,0,0,1,1
K08017.01,FALSE POSITIVE,0.9337465,3.629,49.9,0.63,0.0185,11.6,1221,10.029812,3.3397977,1863,2852.33,6102,4.528,0.887,0.968,1,0,0,1,1
K08018.01,FALSE POSITIVE,0.93371631,4.344,61.3,0.7,0.0186,10.3,1441,8.372116,4.6923723,1743,2180.39,5734,4.538,0.883,0.982,1,0,0,1,1
K08118.01,FALSE POSITIVE,260.02265,12.009,2060.7,3.13,0.6915,25.7,5,11.023978,8.620699,217,0.53,5250,4.684,0.608,0.65,1,1,0,0,0
K08119.01,FALSE POSITIVE,443.66,7.99,360.7,33.2,1.1554,6.3,3,11.249644,10.358602,331,2.85,6743,4.144,1.433,1.043,1,1,0,1,0
K08120.01,FALSE POSITIVE,366.28999,10.869,2568,68.39,1.4591,11.9,4,12.306401,12.140797,666,46.47,5083,2.708,12.868,3.083,1,1,0,0,0
K08121.01,FALSE POSITIVE,72.6549842,5.503,389.3,34.52,0.3605,22.1,18,10.73477,6.4216037,699,56.33,6793,3.926,1.96,1.181,1,0,0,1,0
K08122.01,CANDIDATE,54.75388384,2.0865,442.3,2.21,0.292,0.9,24,9.358782,6.2168636,521,17.47,6242,4.442,1.047,1.104,1,0,0,0,0
K08123.01,FALSE POSITIVE,379.42818,11.24,403.9,1.89,1.0262,11.1,3,8.058489,7.4851556,252,0.95,5947,4.487,0.945,1,1,1,0,0,0
K08124.01,FALSE POSITIVE,103.039788,14.197,1370,2.05,0.3592,15.9,12,8.669573,7.790064,210,0.46,3749,4.674,0.581,0.582,1,1,0,0,0
K08226.01,FALSE POSITIVE,371.90464,25.36,519.1,2.88,1.0493,14.4,4,7.6460996,6.4963613,271,1.28,6164,4.446,1.045,1.109,1,1,0,0,0
K08227.01,FALSE POSITIVE,362.85801,17.03,151.6,1.9,1.045,10.1,4,8.54988,7.0367465,353,3.66,6740,4.165,1.471,1.155,1,1,0,0,0
K08228.01,FALSE POSITIVE,384.558321,4.76,1330,14.33,1.0318,10.1,3,8.253642,7.4309497,382,5.03,5078,3.479,3,0.989,1,1,0,0,0
K08229.01,FALSE POSITIVE,397.72733,11.683,232.8,1.48,1.0781,9,4,7.4239483,5.3882704,253,0.97,6032,4.485,0.973,1.055,1,1,0,0,0
K08230.01,FALSE POSITIVE,504.88419,20.18,5058,25.19,1.0703,15.9,3,8.720685,8.550335,157,0.14,4559,4.612,0.655,0.641,1,1,0,0,0
K08231.01,FALSE POSITIVE,384.92275,9.98,184.8,1.64,0.9595,7.2,4,8.059101,6.5944796,298,1.87,6070,4.186,1.191,0.794,1,1,0,0,0
K08232.01,CANDIDATE,189.183958,6.829,1014,3.31,0.6103,11.2,8,9.35373,7.338282,312,2.23,5573,4.382,0.981,0.845,1,0,0,0,0
K08019.01,FALSE POSITIVE,0.93376131,3.747,55.6,0.61,0.0181,10.5,1440,8.714329,3.3865256,1682,1891.81,5665,4.568,0.82,0.916,1,1,0,1,1
K08020.01,FALSE POSITIVE,0.93377253,2.544,30,0.43,0.0179,8.4,1436,7.283076,4.2303095,1644,1734.32,5595,4.581,0.796,0.89,1,1,0,1,1
K08021.01,FALSE POSITIVE,0.93376021,3.182,56.5,0.4,0.0153,9.5,1439,7.4996095,3.2390294,1019,253.97,3885,4.71,0.54,0.545,1,0,0,0,1
K08022.01,FALSE POSITIVE,0.93372008,2.591,17,0.41,0.0187,7.9,1438,7.328449,3.1863334,1990,3704.01,6221,4.452,0.983,0.995,1,0,0,0,1
K08023.01,FALSE POSITIVE,0.93373591,4.517,35.1,0.57,0.0185,10.8,1440,7.846678,3.3167045,1904,3116.05,6028,4.47,0.95,0.969,1,1,0,1,1
